(2400.0,3221.05)
(2404.35,3230.5)
(2394.8,3209.0)
(2387.0,3219.25)
(2404.9,3218.25)
(2399.25,3216.05)
(2421.9,3200.65)
(2405.95,3233.0)
(2394.5,3223.0)
(2395.2,3212.95)
(2414.0,3200.4)
(2400.6,3229.0)
(2395.0,3209.25)
(2384.75,3222.45)
(2398.5,3227.75)
(2411.3,3212.4)
(2412.0,3250.0)
(2395.05,3213.95)
(2387.7,3216.65)
(2390.0,3219.05)
(2392.5,3202.25)
(2416.75,3200.05)
(2392.0,3215.0)
(2392.65,3210.1)
(2392.35,3216.3)
(2396.75,3233.0)
(2397.0,3214.25)
(2420.0,3200.95)
(2390.95,3216.0)
(2391.1,3215.1)
(2431.2,3217.65)
(2422.3,3210.95)
(2393.6,3215.0)
(2416.85,3199.95)
(2396.6,3213.8)
(2392.7,3217.0)
(2393.4,3212.55)
(2388.9,3202.55)
(2392.95,3210.0)
(2396.1,3211.3)
(2391.45,3213.15)
(2387.5,3205.0)
(2421.35,3209.7)
(2400.0,3237.25)
(2396.9,3215.15)
(2394.75,3215.9)
(2393.2,3215.05)
(2403.95,3215.5)
(2387.2,3208.35)
(2393.15,3215.45)
(2436.25,3220.55)
(2395.6,3211.7)
(2388.05,3207.35)
(2394.0,3214.95)
(2390.0,3216.6)
(2403.9,3237.65)
(2424.7,3206.6)
(2384.05,3218.9)
(2412.9,3195.5)
(2391.25,3213.5)
(2411.8,3211.65)
(2390.2,3212.8)
(2397.95,3218.45)
(2386.5,3219.0)
(2389.1,3220.0)
(2422.4,3203.05)
(2395.2,3216.75)
(2387.65,3218.0)
(2393.0,3218.05)
(2394.1,3214.35)
(2439.3,3222.1)
(2437.4,3218.6)
(2418.95,3201.05)
(2410.85,3210.7)
(2406.35,3243.95)
(2392.3,3214.75)
(2400.45,3217.15)
(2392.0,3216.3)
(2402.1,3234.2)
(2390.75,3221.05)
(2428.45,3217.55)
(2415.0,3212.0)
(2400.25,3230.2)
(2384.4,3220.0)
(2384.25,3218.8)
(2401.9,3233.05)
(2404.5,3231.5)
(2396.9,3217.0)
(2415.15,3201.0)
(2400.65,3220.45)
(2392.5,3214.65)
(2392.8,3214.25)
(2400.95,3236.0)
(2401.0,3217.15)
(2396.0,3216.05)
(2401.85,3215.0)
(2396.75,3213.0)
(2420.75,3211.6)
(2421.15,3210.2)
(2401.6,3204.85)
(2395.05,3215.1)
(2405.0,3236.0)
(2414.25,3206.1)
(2393.0,3216.0)
(2396.55,3222.9)
(2387.75,3215.85)
(2405.95,3234.5)
(2393.0,3213.45)
(2389.4,3214.5)
(2394.2,3215.85)
(2407.35,3243.6)
(2418.9,3245.0)
(2396.0,3211.35)
(2422.5,3210.7)
(2414.15,3197.3)
(2404.9,3233.05)
(2401.0,3234.2)
(2408.05,3241.95)
(2401.6,3219.05)
(2388.0,3213.8)
(2419.6,3211.0)
(2396.55,3217.8)
(2428.95,3224.35)
(2387.55,3211.0)
(2397.0,3217.0)
(2431.5,3215.35)
(2396.0,3212.65)
(2387.6,3218.3)
(2395.7,3213.0)
(2395.1,3213.8)
(2398.0,3215.0)
(2399.0,3226.7)
(2390.0,3216.6)
(2391.0,3221.5)
(2395.0,3219.0)
(2400.0,3233.3)
(2388.4,3202.0)
(2385.5,3221.35)
(2395.0,3209.25)
(2391.05,3214.1)
(2401.0,3229.55)
(2387.95,3208.55)
(2404.3,3232.25)
(2416.95,3200.75)
(2419.9,3200.1)
(2391.75,3215.0)
(2410.75,3210.5)
(2389.7,3213.5)
(2402.0,3217.0)
(2406.2,3234.65)
(2396.7,3215.0)
(2395.5,3218.0)
(2407.0,3252.15)
(2394.0,3216.15)
(2408.9,3244.9)
(2391.0,3215.5)
(2421.0,3211.3)
(2399.25,3225.5)
(2422.15,3211.0)
(2396.35,3213.15)
(2396.35,3217.0)
(2394.8,3215.5)
(2404.25,3236.05)
(2406.0,3233.15)
(2393.0,3214.8)
(2395.05,3212.1)
(2387.35,3219.2)
(2396.3,3216.05)
(2392.0,3217.0)
(2414.15,3200.55)
(2397.45,3215.7)
(2402.95,3215.0)
(2392.55,3214.1)
(2412.0,3243.55)
(2392.5,3215.55)
(2411.9,3212.3)
(2433.95,3219.95)
(2421.75,3210.35)
