(2418.9,4338209)
(2407.0,4357716)
(2408.5,4372029)
(2407.15,4385877)
(2403.3,4399235)
(2403.85,4410626)
(2406.5,4422267)
(2405.0,4434250)
(2408.05,4446850)
(2413.5,4458019)
(2411.0,4469172)
(2410.0,4479946)
(2412.35,4489852)
(2410.95,4500005)
(2407.85,4509891)
(2410.55,4520354)
(2406.35,4530378)
(2408.9,4542755)
(2408.4,4553926)
(2411.75,4565471)
(2415.6,4575379)
(2411.35,4584852)
(2410.05,4595541)
(2413.1,4604320)
(2412.0,4613066)
(2412.0,4621807)
(2409.95,4629900)
(2409.7,4638732)
(2400.0,4649215)
(2405.7,4658926)
(2406.0,4668262)
(2405.55,4678136)
(2407.35,4688037)
(2405.25,4697080)
(2406.5,4707765)
(2404.6,4717254)
(2404.6,4726474)
(2405.3,4734834)
(2405.05,4741918)
(2406.0,4751669)
(2403.9,4761276)
(2404.25,4769253)
(2403.0,4777591)
(2403.55,4785076)
(2404.55,4793581)
(2403.1,4801802)
(2405.2,4809752)
(2404.9,4816691)
(2405.95,4824937)
(2403.05,4833022)
(2406.5,4841457)
(2405.0,4851847)
(2404.8,4861179)
(2404.35,4869779)
(2406.0,4878111)
(2405.75,4885427)
(2405.0,4894220)
(2403.75,4902456)
(2401.5,4911366)
(2401.95,4919740)
(2400.25,4928612)
(2403.05,4937544)
(2401.05,4945333)
(2401.05,4953198)
(2400.25,4961387)
(2401.0,4971937)
(2401.95,4981175)
(2401.7,4991012)
(2401.9,4998498)
(2401.15,5006246)
(2400.95,5013253)
(2400.0,5019615)
(2400.65,5027273)
(2400.0,5033837)
(2400.1,5040425)
(2400.0,5047921)
(2399.0,5054395)
(2396.7,5062026)
(2393.45,5068310)
(2394.55,5074611)
(2394.5,5081083)
(2395.0,5085866)
(2396.75,5091641)
(2396.65,5096864)
(2395.35,5102439)
(2395.0,5108775)
(2395.95,5115135)
(2396.0,5121047)
(2396.55,5127404)
(2394.0,5135883)
(2394.0,5143758)
(2393.6,5150033)
(2392.95,5155751)
(2393.0,5160547)
(2393.55,5166132)
(2393.0,5170659)
(2394.1,5174972)
(2395.0,5180037)
(2392.7,5185551)
(2395.7,5190963)
(2395.4,5196736)
(2396.15,5203289)
(2396.45,5208835)
(2395.65,5214645)
(2395.0,5220392)
(2395.0,5225384)
(2394.8,5231633)
(2393.8,5237293)
(2393.4,5242518)
(2392.0,5247682)
(2392.0,5252690)
(2392.05,5257850)
(2392.95,5263946)
(2392.5,5270142)
(2391.4,5275820)
(2391.1,5280658)
(2391.0,5285787)
(2390.9,5290500)
(2391.0,5295948)
(2391.8,5300293)
(2391.45,5305340)
(2392.1,5309895)
(2393.1,5316015)
(2391.15,5321523)
(2394.85,5328313)
(2394.5,5334243)
(2392.05,5339813)
(2392.2,5344950)
(2393.0,5350961)
(2391.45,5356819)
(2391.4,5363816)
(2390.6,5369862)
(2392.6,5375820)
(2393.35,5380954)
(2394.6,5385814)
(2390.3,5391706)
(2390.2,5398367)
(2391.25,5405143)
(2391.5,5411177)
(2393.0,5417892)
(2394.75,5424774)
(2395.5,5430036)
(2395.6,5434578)
(2396.25,5440625)
(2396.75,5446355)
(2396.35,5452416)
(2396.0,5458001)
(2395.3,5463497)
(2395.0,5468624)
(2395.9,5473783)
(2395.05,5479100)
(2396.0,5483935)
(2395.05,5489299)
(2395.1,5494602)
(2393.35,5499726)
(2393.45,5505214)
(2393.75,5510612)
(2395.25,5515389)
(2393.0,5520440)
(2392.15,5524684)
(2393.4,5530170)
(2393.55,5534766)
(2396.55,5539368)
(2397.0,5544811)
(2397.45,5549461)
(2397.0,5553691)
(2396.9,5558746)
(2397.5,5563675)
(2395.2,5568001)
(2397.45,5573690)
(2395.55,5579128)
(2397.05,5584331)
(2397.1,5590208)
(2397.0,5597025)
(2397.4,5601979)
(2396.55,5607604)
(2397.95,5612412)
(2397.85,5617179)
(2396.7,5622003)
(2395.25,5626846)
(2397.2,5631944)
(2397.0,5636958)
(2396.05,5641443)
(2396.05,5645960)
(2396.9,5651271)
(2396.7,5656206)
(2396.45,5660688)
(2395.0,5665518)
(2394.2,5670251)
(2394.15,5674454)
(2393.95,5679514)
(2395.2,5684029)
(2396.6,5688070)
(2398.0,5692542)
(2398.0,5696556)
(2397.95,5699491)
(2397.2,5702714)
(2395.2,5706339)
(2396.65,5711169)
(2394.1,5715125)
(2394.75,5718884)
(2395.5,5723006)
(2396.5,5727150)
(2395.5,5730567)
(2396.45,5734845)
(2396.45,5739298)
(2396.0,5744782)
(2395.0,5749593)
(2394.2,5753879)
(2394.5,5757896)
(2394.55,5762284)
(2394.0,5766460)
(2393.1,5770962)
(2395.0,5775512)
(2393.05,5779776)
(2393.85,5784752)
(2392.3,5793255)
